ID,Symbol,Name,LastSale,NetChange,PercentChange,MarketCap,Country,IPOYear,Volume,Sector,Industry
1,AACG,ATA Creativity Global America,$1.54 ,0.06,4.05%,48320457,China,2008,8358,Consumer Discretionary,Service to the Health Industry
2,AACI,Armada Acquisition Corp. I Co,$10.06 ,0.042,0.42%,208337570,United States,2021,1334,Industrials,Consumer Electronics/Appliances
3,AADI,Aadi Bioscience Inc. Common S,$12.40 ,-0.3,-2.36%,302499451,United States,,210559,Health Care,Biotechnology: Pharmaceutical Preparations
4,AAL,American Airlines Group Inc. ,$12.81 ,-0.12,-0.93%,8325230362,United States,,26337454,Consumer Discretionary,Air Freight/Delivery Services
5,AAME,Atlantic American Corporation,$2.59 ,0.1761,7.30%,52751123,United States,,9672,Finance,Life Insurance
6,AAOI,Applied Optoelectronics Inc. ,$2.15 ,0.03,1.42%,61325996,United States,2013,157316,Technology,Semiconductors
7,AAON,AAON Inc. Common Stock,$76.34 ,-1.93,-2.47%,4061252655,United States,,843938,Industrials,Industrial Machinery/Components
8,AAPL,Apple Inc. Common Stock,$134.51 ,-1.99,-1.46%,2.33E+12,United States,1980,150229874,Technology,Computer Manufacturing
9,AATC,Autoscope Technologies Corpor,$5.03 ,0,0.00%,27200766,United States,,6480,Industrials,Industrial Machinery/Components
10,AAWW,Atlas Air Worldwide Holdings ,$100.05 ,-0.5,-0.50%,2837838010,United States,,1651678,Consumer Discretionary,Transportation Services
11,ABCB,Ameris Bancorp Common Stock,$46.08 ,-0.74,-1.58%,3195726751,United States,1994,894035,Finance,Major Banks
12,ABCL,AbCellera Biologics Inc. Comm,$10.21 ,-0.19,-1.83%,2921085360,Canada,2020,3220850,Health Care,Pharmaceuticals and Biotechnology
13,ABCM,Abcam plc American Depositary,$15.53 ,-0.1,-0.64%,3560592716,United Kingdom,2020,997669,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
14,ABEO,Abeona Therapeutics Inc. Comm,$2.66 ,-0.19,-6.67%,45687625,United States,,292242,Health Care,Biotechnology: Pharmaceutical Preparations
15,ABGI,ABG Acquisition Corp. I Class,$10.06 ,-0.0099,-0.10%,194487386,United States,2021,3569,Finance,Business Services
16,ABIO,ARCA biopharma Inc. Common St,$2.43 ,0.11,4.74%,35016647,United States,,56518,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
17,ABMD,ABIOMED Inc. Common Stock,$381.00 ,0.84,0.22%,17179741104,United States,,1538409,Health Care,Medical/Dental Instruments
18,ABNB,Airbnb Inc. Class A Common St,$89.57 ,-1.04,-1.15%,53419459057,United States,2020,6812849,Consumer Discretionary,Hotels/Resorts
19,ABOS,Acumen Pharmaceuticals Inc. C,$5.72 ,0.45,8.54%,234092624,United States,2021,153981,Health Care,Biotechnology: Pharmaceutical Preparations
20,ABSI,Absci Corporation Common Stoc,$2.50 ,-0.11,-4.22%,230987273,United States,2021,820284,Health Care,Biotechnology: Pharmaceutical Preparations
21,ABST,Absolute Software Corporation,$9.97 ,-0.08,-0.80%,520897366,Canada,2020,79234,,
